bond_key,bond_name,issuer_code,issuer_name,start_date,end_date,outcome,proposed_date,approved_date,rejected_date,event_ids,titles,urls
603901,永02转债,603901,永创智能,2024-08-07,2024-08-07,rejected,,,2024-08-07,1220805367,关于不向下修正“永02转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-07/1220805367.PDF
001317,,001317,三羊马,2024-08-08,2024-08-08,rejected,,,2024-08-08,1220814408,关于不向下修正可转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-08/1220814408.PDF
002722,金轮转债,002722,物产金轮,2024-08-08,2024-08-08,rejected,,,2024-08-08,1220814608,关于不向下修正“金轮转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-08/1220814608.PDF
600481,双良转债,600481,双良节能,2024-08-08,2024-08-08,rejected,,,2024-08-08,1220815377,双良节能系统股份有限公司关于不向下修正“双良转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-08/1220815377.PDF
688533,上声转债,688533,上声电子,2024-08-08,2024-08-08,rejected,,,2024-08-08,1220815781,苏州上声电子股份有限公司关于董事会提议不向下修正”上声转债“转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-08/1220815781.PDF
002850,科利转债,002850,科达利,2024-08-09,2024-08-09,rejected,,,2024-08-09,1220824357,关于不向下修正科利转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-09/1220824357.PDF
300231,银信转债,300231,银信科技,2024-08-09,2024-08-09,rejected,,,2024-08-09,1220833079,关于不向下修正银信转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-09/1220833079.PDF
300645,,300645,正元智慧,2024-08-09,2024-08-09,approved,,2024-08-09,,1220834112,关于正元转02可能触发向下修正转股价格条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-08-09/1220834112.PDF
300655,,300655,晶瑞电材,2024-08-09,2024-08-09,approved,,2024-08-09,,1220822410,关于晶瑞转2预计触发转股价格向下修正的提示性公告,https://static.cninfo.com.cn/finalpage/2024-08-09/1220822410.PDF
300665,,300665,飞鹿<em>股</em>份,2024-08-09,2024-08-09,rejected,,,2024-08-09,1220835050,关于不向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-09/1220835050.PDF
605228,神通转债,605228,神通科技,2024-08-09,2024-08-09,rejected,,,2024-08-09,1220823360,关于暂不向下修正“神通转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-09/1220823360.PDF
002382,蓝帆转债,002382,蓝帆医疗,2024-08-10,2024-08-10,rejected,,,2024-08-10,1220833184,关于暂不向下修正蓝帆转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220833184.PDF
002734,利民转债,002734,利民<em>股</em>份,2024-08-10,2024-08-10,rejected,,,2024-08-10,1220833363,公司关于不向下修正利民转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220833363.PDF
300830,金现转债,300830,金现代,2024-08-10,2024-08-10,rejected,,,2024-08-10,1220835778,关于不向下修正“金现转债“转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220835778.PDF
601609,金铜转债,601609,金田<em>股</em>份,2024-08-10,2024-08-27,approved,2024-08-10,2024-08-27,,1220833496; 1220985532,金田股份关于董事会提议向下修正“金铜转债”转股价格的公告; 金田股份关于向下修正“金铜转债”转股价格暨转股停复牌的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220833496.PDF; https://static.cninfo.com.cn/finalpage/2024-08-27/1220985532.PDF
603105,芯能转债,603105,芯能科技,2024-08-10,2024-08-10,rejected,,,2024-08-10,1220834903,浙江芯能光伏科技股份有限公司关于不向下修正“芯能转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220834903.PDF
603585,苏利转债,603585,苏利<em>股</em>份,2024-08-10,2024-08-10,rejected,,,2024-08-10,1220833353,苏利股份关于不向下修正“苏利转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220833353.PDF
603937,丽岛转债,603937,丽岛新材,2024-08-10,2024-08-10,rejected,,,2024-08-10,1220835088,丽岛新材：关于不向下修正“丽岛转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220835088.PDF
688030,山石转债,688030,山石网科,2024-08-10,2024-08-10,rejected,,,2024-08-10,1220834127,山石网科通信技术股份有限公司关于不向下修正“山石转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-10/1220834127.PDF
300382,斯莱转债,300382,斯莱克,2024-08-12,2024-08-12,rejected,,,2024-08-12,1220849036,关于不向下修正斯莱转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-12/1220849036.PDF
300869,康医转债,300869,康泰医学,2024-08-12,2024-08-12,rejected,,,2024-08-12,1220849135,关于不向下修正康医转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-12/1220849135.PDF
300967,晓鸣转债,300967,晓鸣<em>股</em>份,2024-08-12,2024-08-12,rejected,,,2024-08-12,1220848604,关于不向下修正晓鸣转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-12/1220848604.PDF
301268,铭利转债,301268,铭利达,2024-08-12,2024-08-12,rejected,,,2024-08-12,1220849552,关于不向下修正铭利转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-12/1220849552.PDF
000723,美锦转债,000723,美锦能源,2024-08-13,2024-08-13,rejected,,,2024-08-13,1220850712,关于不向下修正美锦转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-13/1220850712.PDF
002822,,002822,ST中装,2024-08-13,2024-08-13,rejected,,,2024-08-13,1220851331,关于不向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-13/1220851331.PDF
300911,亿田转债,300911,亿田智能,2024-08-13,2024-08-13,rejected,,,2024-08-13,1220861868,关于不向下修正亿田转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-13/1220861868.PDF
600745,闻泰转债,600745,闻泰科技,2024-08-13,2024-08-13,rejected,,,2024-08-13,1220849411,关于不向下修正“闻泰转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-13/1220849411.PDF
301078,孩王转债,301078,孩子王,2024-08-14,2024-08-14,rejected,,,2024-08-14,1220872168,关于不向下修正“孩王转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-14/1220872168.PDF
603165,荣23转债,603165,荣晟环保,2024-08-14,2024-08-14,rejected,,,2024-08-14,1220860827,浙江荣晟环保纸业股份有限公司关于不向下修正“荣23转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-14/1220860827.PDF
603708,家悦转债,603708,家家悦,2024-08-14,2024-08-14,rejected,,,2024-08-14,1220861664,家家悦集团股份有限公司关于不向下修正“家悦转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-14/1220861664.PDF
002753,,002753,永东<em>股</em>份,2024-08-15,2024-08-15,rejected,,,2024-08-15,1220871936,关于不向下修正“永东转2“转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-15/1220871936.PDF
002863,今飞转债,002863,今飞凯达,2024-08-15,2024-08-15,rejected,,,2024-08-15,1220870383,关于不向下修正今飞转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-15/1220870383.PDF
300246,宝莱转债,300246,宝莱特,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220892607,关于不向下修正宝莱转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220892607.PDF
300482,万孚转债,300482,万孚生物,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220891378,关于不向下修正万孚转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220891378.PDF
300623,捷捷转债,300623,捷捷微电,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220881477,江苏捷捷微电子股份有限公司关于不向下修正捷捷转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220881477.PDF
300645,,300645,正元智慧,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220895272,关于不向下修正正元转02转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220895272.PDF
300655,,300655,晶瑞电材,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220878532,关于不向下修正晶瑞转2转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220878532.PDF
603179,新23转债,603179,新泉<em>股</em>份,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220879619,江苏新泉汽车饰件股份有限公司关于不向下修正“新23转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220879619.PDF
603912,佳力转债,603912,佳力图,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220880491,603912：佳力图关于不向下修正“佳力转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220880491.PDF
605007,特纸转债,605007,五洲特纸,2024-08-16,2024-08-16,rejected,,,2024-08-16,1220878853,五洲特种纸业集团股份有限公司关于不向下修正“特纸转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-16/1220878853.PDF
002973,侨银转债,002973,侨银<em>股</em>份,2024-08-17,2024-08-17,rejected,,,2024-08-17,1220893916,关于不向下修正侨银转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-17/1220893916.PDF
688499,利元转债,688499,利元亨,2024-08-17,2024-09-03,approved,2024-08-17,2024-09-03,,1220894370; 1221114941,广东利元亨智能装备股份有限公司关于董事会提议向下修正“利元转债”转股价格的公告; 广东利元亨智能装备股份有限公司关于向下修正“利元转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-17/1220894370.PDF; https://static.cninfo.com.cn/finalpage/2024-09-03/1221114941.PDF
300973,立高转债,300973,立高食品,2024-08-19,2024-08-19,rejected,,,2024-08-19,1220907475,关于不向下修正立高转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-19/1220907475.PDF
300986,志特转债,300986,志特新材,2024-08-19,2024-08-19,rejected,,,2024-08-19,1220907704,关于暂不向下修正志特转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-19/1220907704.PDF
301046,能辉转债,301046,能辉科技,2024-08-19,2024-08-19,rejected,,,2024-08-19,1220909778,关于不向下修正“能辉转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-19/1220909778.PDF
002335,科数转债,002335,科华数据,2024-08-20,2024-08-20,rejected,,,2024-08-20,1220912651,关于不向下修正科数转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-20/1220912651.PDF
300224,正海转债,300224,正海磁材,2024-08-20,2024-08-20,rejected,,,2024-08-20,1220924095,关于不向下修正正海转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-20/1220924095.PDF
301098,金埔转债,301098,金埔园林,2024-08-20,2024-09-05,approved,2024-08-20,2024-09-05,,1220923328; 1221148550,关于董事会提议向下修正金埔转债转股价格的公告; 关于向下修正金埔转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-20/1220923328.PDF; https://static.cninfo.com.cn/finalpage/2024-09-05/1221148550.PDF
000688,国城转债,000688,国城矿业,2024-08-21,2024-08-21,rejected,,,2024-08-21,1220924879,关于不向下修正国城转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-21/1220924879.PDF
