announcement_id,event_date,event_type,bond_name,issuer_code,issuer_name,title,url,search_keys
1219209668,2024-02-28,down_reset_approved,德尔转债,300473,德尔<em>股</em>份,关于向下修正德尔转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219209668.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219207601,2024-02-29,down_reset_rejected,华友转债,603799,华友钴业,华友钴业关于不向下修正“华友转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219207601.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219207908,2024-02-29,down_reset_trigger_notice,,002787,华源控<em>股</em>,关于预计触发可转债转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219207908.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219207972,2024-02-29,down_reset_rejected,荣23转债,603165,荣晟环保,浙江荣晟环保纸业股份有限公司关于不向下修正“荣23转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219207972.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219208393,2024-02-29,down_reset_proposed,迪贝转债,603320,迪贝电气,关于董事会提议向下修正“迪贝转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219208393.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219208661,2024-02-29,down_reset_trigger_notice,华亚转债,003043,华亚智能,关于华亚转债预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219208661.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219208718,2024-02-29,down_reset_rejected,东南转债,002135,东南网架,关于不向下修正“东南转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219208718.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219208932,2024-02-29,down_reset_trigger_notice,大禹转债,300021,大禹节水,关于大禹转债预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219208932.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219209517,2024-02-29,down_reset_proposed,岱美转债,603730,岱美<em>股</em>份,上海岱美汽车内饰件股份有限公司关于董事会提议向下修正“岱美转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219209517.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219210231,2024-02-29,down_reset_trigger_notice,华特转债,688268,华特气体,广东华特气体股份有限公司关于“华特转债”预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219210231.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219211651,2024-02-29,down_reset_trigger_notice,,300850,新强联,关于预计触发可转债转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219211651.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219212637,2024-02-29,down_reset_trigger_notice,能辉转债,301046,能辉科技,关于能辉转债预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219212637.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219212646,2024-02-29,down_reset_rejected,设研转债,300732,设研院,关于暂不向下修正设研转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219212646.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219212922,2024-02-29,down_reset_rejected,宏丰转债,300283,温州宏丰,关于不向下修正“宏丰转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219212922.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219213126,2024-02-29,down_reset_rejected,聚隆转债,300644,南京聚隆,关于不向下修正聚隆转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219213126.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219213984,2024-02-29,down_reset_trigger_notice,中富转债,300814,中富电路,关于中富转债预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-29/1219213984.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219211983,2024-03-01,down_reset_rejected,特纸转债,605007,五洲特纸,五洲特种纸业集团股份有限公司关于不向下修正“特纸转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219211983.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219212666,2024-03-01,down_reset_proposed,,002616,长青集团,关于董事会提议向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219212666.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219212866,2024-03-01,down_reset_rejected,丰山转债,603810,丰山集团,关于不向下修正“丰山转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219212866.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219213808,2024-03-01,down_reset_rejected,山鹰转债,600567,山鹰国际,关于不向下修正“山鹰转债”及“鹰19转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219213808.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219213816,2024-03-01,down_reset_rejected,新港转债,605162,新中港,关于不向下修正“新港转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219213816.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219213986,2024-03-01,down_reset_rejected,亚泰转债,002811,郑中设计,关于不向下修正亚泰转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219213986.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219214326,2024-03-01,down_reset_rejected,宏微转债,688711,宏微科技,江苏宏微科技股份有限公司关于不向下修正“宏微转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219214326.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219214585,2024-03-01,down_reset_proposed,,002542,中化岩土,关于董事会提议向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219214585.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219216690,2024-03-01,down_reset_trigger_notice,,300607,拓斯达,关于预计触发可转债转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219216690.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219218230,2024-03-01,down_reset_rejected,开能转债,300272,开能健康,关于不向下修正开能转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219218230.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219218680,2024-03-01,down_reset_rejected,天源转债,301127,天源环保,关于不向下修正“天源转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-03-01/1219218680.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219216678,2024-03-02,down_reset_trigger_notice,裕兴转债,300305,裕兴<em>股</em>份,关于裕兴转债预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-03-02/1219216678.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
